step,lr,ms_per_batch,global_tokens_sec,train_loss,train_ppl,train_acc,val_loss,val_ppl,val_acc,alloc_mem_mb,interval_peak_mem_mb,cumulative_peak_mem_mb,elapsed_time_s,amp,ddp
300,1.5,116.1610762278239,70522.76258127317,7.548701540629069,1898.2762957580726,0.08839070638020834,7.208982313509573,1351.5161475387984,0.12115190394254507,1269.21435546875,4849.32666015625,4849.32666015625,35.994033098220825,0,0
600,1.5,116.9092567761739,70071.44024261326,6.528428171475729,684.321729276861,0.11842732747395833,6.372042379481297,585.2519155909242,0.13990611206703074,1269.21435546875,4849.32666015625,4849.32666015625,72.37046551704407,0,0
900,1.4249999999999998,118.24817816416423,69278.0229444806,6.277780170440674,532.6050581586233,0.13322794596354168,6.165659410056175,476.11499446081496,0.1509080197501309,1269.21435546875,4849.32666015625,4849.32666015625,109.23727345466614,0,0
1200,1.3537499999999998,118.8084061940511,68951.35001322982,6.116117458343506,453.1020872871722,0.14261149088541666,6.064121523657564,430.1446397579755,0.16049786788359394,1269.21435546875,4849.32666015625,4849.32666015625,146.2715620994568,0,0
1500,1.2860624999999997,118.97808154424031,68853.01808261147,6.005635935465495,405.7089114010503,0.14799601236979168,5.953450001676447,385.0795751671478,0.16580478042941574,1269.21435546875,4849.32666015625,4849.32666015625,183.3602740764618,0,0
1800,1.2217593749999995,118.92990032831828,68880.91201106818,5.926405545870463,374.80487074737124,0.153623046875,5.866029877183574,352.8453564316622,0.160483840801975,1269.21435546875,4849.32666015625,4849.32666015625,220.42126202583313,0,0
2100,1.1606714062499994,118.89553705851237,68900.82001958114,5.8540826400121055,348.6549112388048,0.159405517578125,5.7843910954140725,325.1839738040904,0.1753993042567517,1269.21435546875,4849.32666015625,4849.32666015625,257.50009179115295,0,0
2400,1.1026378359374993,118.84854952494304,68928.0603990941,5.770697965621948,320.7615350593907,0.16390462239583334,5.719781785643769,304.83839558431174,0.16800703224358496,1269.21435546875,4849.32666015625,4849.32666015625,294.558650970459,0,0
2700,1.0475059441406243,118.67712497711182,69027.62433434343,5.69950079758962,298.7182428732509,0.169940185546875,5.657979494437164,286.5690428657901,0.17900426423281215,1269.21435546875,4849.32666015625,4849.32666015625,331.56448769569397,0,0
3000,0.995130646933593,118.32756280899048,69231.54508999636,5.648438247044881,283.8478193103559,0.17375691731770834,5.597414757895597,269.7281926075806,0.18433923094187177,1269.21435546875,4849.32666015625,4849.32666015625,368.4495677947998,0,0
